Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"33,929.53",88.28,0.26%,636.165B,25.635B,25.635B,25.635B,18.75M
ETH-USD,Ethereum USD,"2,310.85",95.04,4.29%,269.412B,19.953B,19.953B,19.953B,116.585M
USDT-USD,Tether USD,1.0002,-0.0005,-0.05%,62.342B,49.381B,49.381B,49.381B,62.328B
BNB-USD,BinanceCoin USD,317.18,15.59,5.17%,48.665B,2.17B,2.17B,2.17B,153.433M
ADA-USD,Cardano USD,1.4035,-0.0105,-0.75%,44.835B,1.43B,1.43B,1.43B,31.946B
XRP-USD,XRP USD,0.659761,-0.000822,-0.12%,30.462B,1.865B,1.865B,1.865B,46.172B
DOGE-USD,Dogecoin USD,0.231693,-0.002236,-0.96%,30.197B,1.252B,1.252B,1.252B,130.331B
USDC-USD,USDCoin USD,1.0002,-0.0005,-0.05%,25.603B,2.311B,2.311B,2.311B,25.598B
DOT1-USD,Polkadot USD,15.81,0.43,2.77%,15.147B,1.02B,1.02B,1.02B,958.103M
HEX-USD,HEX USD,0.084865,-0.001871,-2.16%,14.717B,39.232M,39.232M,39.232M,173.411B
UNI3-USD,Uniswap USD,22.24,2.25,11.28%,13.061B,774.728M,774.728M,774.728M,587.272M
BCH-USD,BitcoinCash USD,504.99,-3.82,-0.75%,9.485B,1.358B,1.358B,1.358B,18.782M
LTC-USD,Litecoin USD,137.63,-1.12,-0.81%,9.187B,1.463B,1.463B,1.463B,66.752M
SOL1-USD,Solana USD,33.54,0.56,1.70%,9.143B,352.766M,352.766M,352.766M,272.637M
LINK-USD,Chainlink USD,19.88,1.41,7.61%,8.689B,1.109B,1.109B,1.109B,437.01M
MATIC-USD,MaticNetwork USD,1.1193,0.0169,1.53%,7.056B,556.35M,556.35M,556.35M,6.303B
ETC-USD,EthereumClassic USD,54.12,-0.29,-0.53%,6.294B,2.544B,2.544B,2.544B,116.313M
ICP1-USD,InternetComputer USD,45.47,0.08,0.17%,6.224B,229.2M,229.2M,229.2M,136.899M
THETA-USD,THETA USD,6.0988,0.0232,0.38%,6.099B,171.154M,171.154M,171.154M,1B
XLM-USD,Stellar USD,0.256923,-0.001547,-0.60%,5.974B,351.401M,351.401M,351.401M,23.252B
VET-USD,VeChain USD,0.083538,0.000098,0.12%,5.373B,529.522M,529.522M,529.522M,64.316B
FIL-USD,FilecoinFutures USD,56.21,-0.22,-0.39%,4.828B,336.616M,336.616M,336.616M,85.904M
TRX-USD,TRON USD,0.064462,-0.000413,-0.64%,4.619B,681.478M,681.478M,681.478M,71.66B
AAVE-USD,Aave USD,316.60,21.79,7.39%,4.063B,1.081B,1.081B,1.081B,12.833M
XMR-USD,Monero USD,217.99,0.27,0.12%,3.912B,146.156M,146.156M,146.156M,17.947M
